method,domain,n_runs,coverage_mean,coverage_std,mean_set_size_mean,mean_set_size_std,top1_accuracy_mean,top1_accuracy_std,fail_to_abstain_rate_mean,fail_to_abstain_rate_std
aps_conformal,droid_shift_blur_noise,9,0.9123576147900607,0.08939117525928734,99.83919355992218,8.769284220821648,0.09906761410480093,0.09190456125618772,0.0,0.0
aps_conformal,droid_shift_camera_crop,9,0.8726001354271589,0.08005805904301591,96.5786436441045,14.280395427505567,0.08744012205629673,0.03352496850767387,0.0,0.0
aps_conformal,droid_shift_lighting,9,0.9089676835125251,0.036155104426415216,100.10014678466729,4.914608347328817,0.044127802159186456,0.030244161769005202,0.0,0.0
aps_conformal,droid_shift_occlusion,8,0.9112856974921071,0.03328675458828831,98.23087525474472,5.246205437546795,0.05833875591145642,0.037443567847387726,0.0,0.0
coras,droid_shift_blur_noise,9,0.9039176937107867,0.0839358930169833,99.09296513280258,7.324249204558288,0.0843857297123049,0.06493902668124442,0.0,0.0
coras,droid_shift_camera_crop,9,0.8567745749838968,0.08727058975049957,100.92507182846958,4.378913316270011,0.06644710764549372,0.01652544011877784,0.0,0.0
coras,droid_shift_lighting,9,0.9195455386514825,0.067092540428451,100.78186304170605,5.679922833659511,0.06507402962275491,0.025427077927090615,0.0,0.0
coras,droid_shift_occlusion,8,0.908085727683225,0.03285836631677308,97.04955890094523,8.40404303635805,0.08852102959137997,0.05794913699835956,0.0,0.0
coras_aps,droid_shift_blur_noise,9,0.9010982383192678,0.08673280229753648,98.63173502832643,6.723757779696092,0.0843857297123049,0.06493902668124442,0.0,0.0
coras_aps,droid_shift_camera_crop,9,0.8539275640604795,0.08998412507008179,99.92383113272497,4.569863635806901,0.06644710764549372,0.01652544011877784,0.0,0.0
coras_aps,droid_shift_lighting,9,0.9161422640498375,0.07086173384091345,99.84776422570623,5.829680018370968,0.06507402962275491,0.025427077927090615,0.0,0.0
coras_aps,droid_shift_occlusion,8,0.9051129683859356,0.03233889570390285,96.84466847062016,7.873834978207016,0.08852102959137997,0.05794913699835956,0.0,0.0
mondrian_domain,droid_shift_blur_noise,9,0.881916058644186,0.12253092206736008,92.63445231812047,13.236209399000757,0.0843857297123049,0.06493902668124442,0.0,0.0
mondrian_domain,droid_shift_camera_crop,9,0.8811174627417234,0.061545218448544464,104.06452671925126,7.215662866724013,0.06644710764549372,0.01652544011877784,0.0,0.0
mondrian_domain,droid_shift_lighting,9,0.9341842648387875,0.06881123927317448,108.28289758998878,10.20259572252174,0.06507402962275491,0.025427077927090615,0.0,0.0
mondrian_domain,droid_shift_occlusion,8,0.8469151902923617,0.09669062891675359,84.58603287182751,19.879267863627437,0.08852102959137997,0.05794913699835956,0.0,0.0
prompt_only_top1,droid_shift_blur_noise,9,0.0843857297123049,0.06493902668124442,1.0,0.0,0.0843857297123049,0.06493902668124442,0.9156142702876949,0.06493902668124439
prompt_only_top1,droid_shift_camera_crop,9,0.06644710764549372,0.01652544011877784,1.0,0.0,0.06644710764549372,0.01652544011877784,0.9335528923545063,0.016525440118777806
prompt_only_top1,droid_shift_lighting,9,0.06507402962275491,0.025427077927090615,1.0,0.0,0.06507402962275491,0.025427077927090615,0.934925970377245,0.025427077927090563
prompt_only_top1,droid_shift_occlusion,8,0.08852102959137997,0.05794913699835956,1.0,0.0,0.08852102959137997,0.05794913699835956,0.9114789704086199,0.057949136998359546
temperature_conformal,droid_shift_blur_noise,9,0.9180820325315501,0.07846990716755742,100.69449095666553,6.9196539311665495,0.09906761410480093,0.09190456125618772,0.0,0.0
temperature_conformal,droid_shift_camera_crop,9,0.89800246857769,0.03844067540047676,100.55668333681326,6.886229858309558,0.08744012205629673,0.03352496850767387,0.0,0.0
temperature_conformal,droid_shift_lighting,9,0.9091544127384206,0.037749932824454706,99.62112428016745,4.692935373013193,0.044127802159186456,0.030244161769005202,0.0,0.0
temperature_conformal,droid_shift_occlusion,8,0.9085992850143465,0.03409773530828344,97.54437564138311,4.3856793136034495,0.05833875591145642,0.037443567847387726,0.0,0.0
top1_singleton,droid_shift_blur_noise,9,0.09906761410480093,0.09190456125618772,1.0,0.0,0.09906761410480093,0.09190456125618772,0.900932385895199,0.0919045612561877
top1_singleton,droid_shift_camera_crop,9,0.08744012205629673,0.03352496850767387,1.0,0.0,0.08744012205629673,0.03352496850767387,0.9125598779437032,0.03352496850767389
top1_singleton,droid_shift_lighting,9,0.044127802159186456,0.030244161769005202,1.0,0.0,0.044127802159186456,0.030244161769005202,0.9558721978408136,0.030244161769005188
top1_singleton,droid_shift_occlusion,8,0.05833875591145642,0.037443567847387726,1.0,0.0,0.05833875591145642,0.037443567847387726,0.9416612440885435,0.03744356784738773
topk_calibrated,droid_shift_blur_noise,9,0.9253980694013381,0.05218429111072864,100.77777777777777,4.8419463487779835,0.09906761410480093,0.09190456125618772,0.0,0.0
topk_calibrated,droid_shift_camera_crop,9,0.8901173263868919,0.03902539585469211,100.77777777777777,4.8419463487779835,0.08744012205629673,0.03352496850767387,0.0,0.0
