method,alpha,n,token_coverage,mean_set_size,mean_codebook_quant_l2,p90_codebook_quant_l2,top1_action_l2_mean,top1_action_l2_p90,set_oracle_action_l2_mean,set_oracle_action_l2_p90,action_l2_improvement_vs_top1,mean_set_action_diameter,p90_set_action_diameter,empty_set_rate,file,run_dir
aps_conformal,0.1,3846,0.9087363494539782,47.00390015600624,0.3329683840274811,0.5617126226425171,0.7776978611946106,1.1751155853271484,0.3305958197776614,0.5773479640483856,0.4471020137717307,1.976833414361927,2.124490737915039,0.0,prediction_sets_aps_conformal_alpha0.10.csv,seed0_calib0.10
coras,0.1,3846,0.9326573062922516,47.935517420696826,0.3329683840274811,0.5617126226425171,0.7942853569984436,1.1847541332244873,0.3272957469731883,0.5606971979141235,0.4669895756801322,2.0077024082683734,2.015857696533203,0.0,prediction_sets_coras_alpha0.10.csv,seed0_calib0.10
coras_aps,0.1,3846,0.9334373374934998,48.35621424856994,0.3329683840274811,0.5617126226425171,0.7942853569984436,1.1847541332244873,0.3269875852022566,0.5601360201835632,0.4672977374510639,2.0110486645718386,2.015857696533203,0.0,prediction_sets_coras_aps_alpha0.10.csv,seed0_calib0.10
mondrian_domain,0.1,3846,0.8705148205928237,44.399895995839834,0.3329683840274811,0.5617126226425171,0.7942853569984436,1.1847541332244873,0.334486097258429,0.5782845616340637,0.4597992253948915,1.9514783957447168,2.015857696533203,0.0,prediction_sets_mondrian_domain_alpha0.10.csv,seed0_calib0.10
prompt_only_top1,0.1,3846,0.0413416536661466,1.0,0.3329683840274811,0.5617126226425171,0.7942853569984436,1.1847541332244873,0.7942853226533205,1.1847540736198423,0.0,0.0,0.0,0.0,prediction_sets_prompt_only_top1_alpha0.10.csv,seed0_calib0.10
temperature_conformal,0.1,3846,0.9115964638585544,47.02938117524701,0.3329683840274811,0.5617126226425171,0.7776978611946106,1.1751155853271484,0.3301425206385847,0.5764177441596985,0.4475553129108073,1.9807326191425076,2.124490737915039,0.0,prediction_sets_temperature_conformal_alpha0.10.csv,seed0_calib0.10
top1_singleton,0.1,3846,0.0642225689027561,1.0,0.3329683840274811,0.5617126226425171,0.7776978611946106,1.1751155853271484,0.777697833549392,1.1751155257225037,0.0,0.0,0.0,0.0,prediction_sets_top1_singleton_alpha0.10.csv,seed0_calib0.10
topk_calibrated,0.1,3846,0.9173166926677068,48.0,0.3329683840274811,0.5617126226425171,0.7776978611946106,1.1751155853271484,0.328693772482846,0.5680013000965118,0.449004061066546,1.9996134684349929,2.124490737915039,0.0,prediction_sets_topk_calibrated_alpha0.10.csv,seed0_calib0.10
vanilla_conformal,0.1,3846,0.9136765470618824,47.71242849713988,0.3329683840274811,0.5617126226425171,0.7776978611946106,1.1751155853271484,0.3301768255448119,0.5758131146430969,0.4475210080045801,1.9821331356567329,2.124490737915039,0.0,prediction_sets_vanilla_conformal_alpha0.10.csv,seed0_calib0.10
aps_conformal,0.1,4431,0.8469871360866622,44.472128187768,0.3628684282302856,0.6456156969070435,0.8314225077629089,1.265942096710205,0.3675439024173417,0.6752051115036011,0.4638786344441956,1.954818119881143,2.124490737915039,0.0,prediction_sets_aps_conformal_alpha0.10.csv,seed0_calib0.25
coras,0.1,4431,0.9056646355224556,47.90498758745204,0.3628684282302856,0.6456156969070435,0.825915515422821,1.2682150602340698,0.3590367339609039,0.643839955329895,0.4668787687458224,2.0024737045152063,2.015857696533203,0.0,prediction_sets_coras_alpha0.10.csv,seed0_calib0.25
coras_aps,0.1,4431,0.90521327014218,47.81877679981945,0.3628684282302856,0.6456156969070435,0.825915515422821,1.2682150602340698,0.3590502461630374,0.6442563533782959,0.4668652565436889,2.0029829169363556,2.015857696533203,0.0,prediction_sets_coras_aps_alpha0.10.csv,seed0_calib0.25
mondrian_domain,0.1,4431,0.8912209433536448,48.29812683367186,0.3628684282302856,0.6456156969070435,0.825915515422821,1.2682150602340698,0.3600031930246627,0.6482996344566345,0.4659123096820635,1.9886360169264137,2.015857696533203,0.0,prediction_sets_mondrian_domain_alpha0.10.csv,seed0_calib0.25
prompt_only_top1,0.1,4431,0.0446851726472579,1.0,0.3628684282302856,0.6456156969070435,0.825915515422821,1.2682150602340698,0.8259155027067263,1.2682150602340698,0.0,0.0,0.0,0.0,prediction_sets_prompt_only_top1_alpha0.10.csv,seed0_calib0.25
temperature_conformal,0.1,4431,0.8607537801850598,44.81629429022794,0.3628684282302856,0.6456156969070435,0.8314225077629089,1.265942096710205,0.3651591977760317,0.6723222732543945,0.4662633390855056,1.9617326163836672,2.124490737915039,0.0,prediction_sets_temperature_conformal_alpha0.10.csv,seed0_calib0.25
top1_singleton,0.1,4431,0.0510042879711126,1.0,0.3628684282302856,0.6456156969070435,0.8314225077629089,1.265942096710205,0.8314225368615373,1.265942096710205,0.0,0.0,0.0,0.0,prediction_sets_top1_singleton_alpha0.10.csv,seed0_calib0.25
topk_calibrated,0.1,4431,0.8691040397201535,45.0,0.3628684282302856,0.6456156969070435,0.8314225077629089,1.265942096710205,0.3622634749390022,0.6579371094703674,0.4691590619225352,1.970720630794044,2.124490737915039,0.0,prediction_sets_topk_calibrated_alpha0.10.csv,seed0_calib0.25
vanilla_conformal,0.1,4431,0.8481155495373505,44.83073798239675,0.3628684282302856,0.6456156969070435,0.8314225077629089,1.265942096710205,0.3678161828343394,0.677602231502533,0.4636063540271979,1.9557553727479908,2.124490737915039,0.0,prediction_sets_vanilla_conformal_alpha0.10.csv,seed0_calib0.25
aps_conformal,0.1,3261,0.8380864765409384,45.24747010119595,0.3661777675151825,0.6953145861625671,0.7983892560005188,1.2997006177902222,0.3676017502520424,0.7124695777893066,0.4307874792570471,1.9753144627442136,2.124490737915039,0.0,prediction_sets_aps_conformal_alpha0.10.csv,seed0_calib0.40
coras,0.1,3261,0.8620055197792088,47.24685679239497,0.3661777675151825,0.6953145861625671,0.8337748050689697,1.2746496200561523,0.3631894315965074,0.7193596959114075,0.4705854069486681,1.9936466818388092,2.015857696533203,0.0,prediction_sets_coras_alpha0.10.csv,seed0_calib0.40
coras_aps,0.1,3261,0.8613922109782275,47.17019319227231,0.3661777675151825,0.6953145861625671,0.8337748050689697,1.2746496200561523,0.3631345628523997,0.7199840545654297,0.4706402756927757,1.993020012604609,2.015857696533203,0.0,prediction_sets_coras_aps_alpha0.10.csv,seed0_calib0.40
mondrian_domain,0.1,3261,0.8638454461821528,48.91352345906163,0.3661777675151825,0.6953145861625671,0.8337748050689697,1.2746496200561523,0.3637849282069496,0.7193596959114075,0.4699899103382259,1.9789740870021597,2.015857696533203,0.0,prediction_sets_mondrian_domain_alpha0.10.csv,seed0_calib0.40
prompt_only_top1,0.1,3261,0.0435449248696718,1.0,0.3661777675151825,0.6953145861625671,0.8337748050689697,1.2746496200561523,0.8337748385451754,1.2746496200561523,0.0,0.0,0.0,0.0,prediction_sets_prompt_only_top1_alpha0.10.csv,seed0_calib0.40
temperature_conformal,0.1,3261,0.848819380558111,45.46795461514873,0.3661777675151825,0.6953145861625671,0.7983892560005188,1.2997006177902222,0.3646710350014536,0.7009891271591187,0.4337181945076359,1.9896026299212544,2.124490737915039,0.0,prediction_sets_temperature_conformal_alpha0.10.csv,seed0_calib0.40
top1_singleton,0.1,3261,0.0643974241030358,1.0,0.3661777675151825,0.6953145861625671,0.7983892560005188,1.2997006177902222,0.7983892295090895,1.2997006177902222,0.0,0.0,0.0,0.0,prediction_sets_top1_singleton_alpha0.10.csv,seed0_calib0.40
topk_calibrated,0.1,3261,0.8595522845752837,46.0,0.3661777675151825,0.6953145861625671,0.7983892560005188,1.2997006177902222,0.3613301203684691,0.6905055046081543,0.4370591091406204,2.0077419737956523,2.124490737915039,0.0,prediction_sets_topk_calibrated_alpha0.10.csv,seed0_calib0.40
vanilla_conformal,0.1,3261,0.8356332413370132,45.34774609015639,0.3661777675151825,0.6953145861625671,0.7983892560005188,1.2997006177902222,0.3685597752277191,0.7128316760063171,0.4298294542813705,1.9675039107797336,2.124490737915039,0.0,prediction_sets_vanilla_conformal_alpha0.10.csv,seed0_calib0.40
aps_conformal,0.1,2836,0.959802538787024,54.19534555712271,0.3338224589824676,0.5652511119842529,0.823263943195343,1.2565786838531494,0.3216320524630577,0.5479775965213776,0.501631924861514,2.0789518457205576,2.124490737915039,0.0,prediction_sets_aps_conformal_alpha0.10.csv,seed1_calib0.10
coras,0.1,2836,0.9287729196050776,53.2672778561354,0.3338224589824676,0.5652511119842529,0.8385428190231323,1.237737059593201,0.326579062980094,0.5447549223899841,0.5119637542066646,2.0933872044759005,2.124490737915039,0.0,prediction_sets_coras_alpha0.10.csv,seed1_calib0.10
