method,alpha,n,token_coverage,mean_set_size,mean_codebook_quant_l2,p90_codebook_quant_l2,top1_action_l2_mean,top1_action_l2_p90,set_oracle_action_l2_mean,set_oracle_action_l2_p90,action_l2_improvement_vs_top1,mean_set_action_diameter,p90_set_action_diameter,empty_set_rate,file,run_dir
aps_conformal,0.1,2524,0.904120443740095,20.698494453248813,26.114877700805664,41.565425872802734,128.78387451171875,254.84291076660156,29.794280850943977,50.25813903808595,98.98959614867832,397.25675485855805,458.6599731445313,0.0,prediction_sets_aps_conformal_alpha0.10.csv,seed0_calib0.10
coras,0.1,2524,0.8858954041204438,14.156101426307448,26.114877700805664,41.565425872802734,107.36651611328124,227.63926696777344,30.47581460873601,51.7295967102051,76.89070677346359,335.5603220391009,436.9879150390625,0.0,prediction_sets_coras_alpha0.10.csv,seed0_calib0.10
coras_aps,0.1,2524,0.8918383518225039,14.73137876386688,26.114877700805664,41.565425872802734,107.36651611328124,227.63926696777344,29.910343583195033,50.250472640991234,77.45617779900458,339.098984036695,436.9879150390625,0.0,prediction_sets_coras_aps_alpha0.10.csv,seed0_calib0.10
mondrian_domain,0.1,2524,0.873217115689382,13.42472266244057,26.114877700805664,41.565425872802734,107.36651611328124,227.63926696777344,31.31614380890707,52.951470947265626,76.05037757329254,323.16784782379443,436.9879150390625,0.0,prediction_sets_mondrian_domain_alpha0.10.csv,seed0_calib0.10
prompt_only_top1,0.1,2524,0.2131537242472266,1.0,26.114877700805664,41.565425872802734,107.36651611328124,227.63926696777344,107.3665213821996,227.6392715454102,0.0,0.0,0.0,0.0,prediction_sets_prompt_only_top1_alpha0.10.csv,seed0_calib0.10
temperature_conformal,0.1,2524,0.900554675118859,20.735340729001585,26.114877700805664,41.565425872802734,128.78387451171875,254.84291076660156,29.85941341864137,50.336207199096705,98.92446358098093,400.7643875388071,458.6599731445313,0.0,prediction_sets_temperature_conformal_alpha0.10.csv,seed0_calib0.10
top1_singleton,0.1,2524,0.1398573692551505,1.0,26.114877700805664,41.565425872802734,128.78387451171875,254.84291076660156,128.7838769996223,254.84291076660156,0.0,0.0,0.0,0.0,prediction_sets_top1_singleton_alpha0.10.csv,seed0_calib0.10
topk_calibrated,0.1,2524,0.9033280507131536,22.0,26.114877700805664,41.565425872802734,128.78387451171875,254.84291076660156,29.557166636367985,50.03074989318848,99.2267103632543,417.069384059513,458.6599731445313,0.0,prediction_sets_topk_calibrated_alpha0.10.csv,seed0_calib0.10
vanilla_conformal,0.1,2524,0.9057052297939778,20.777337559429476,26.114877700805664,41.565425872802734,128.78387451171875,254.84291076660156,30.03616020343194,50.54536857604981,98.74771679619036,395.8039517500888,458.6599731445313,0.0,prediction_sets_vanilla_conformal_alpha0.10.csv,seed0_calib0.10
aps_conformal,0.1,2629,0.9147965005705592,20.382655001901863,24.77145767211914,39.40610122680664,123.659423828125,247.8014984130859,28.017650950701466,46.912933349609375,95.64176529505352,388.03016246739065,458.6599731445313,0.0,prediction_sets_aps_conformal_alpha0.10.csv,seed0_calib0.25
coras,0.1,2629,0.9075694180296692,14.0418410041841,24.77145767211914,39.40610122680664,98.52278137207033,209.3438262939453,28.107464098488823,46.58474655151368,70.41531893630226,331.05232142712873,436.9879150390625,0.0,prediction_sets_coras_alpha0.10.csv,seed0_calib0.25
coras_aps,0.1,2629,0.9087105363255992,14.243058197033092,24.77145767211914,39.40610122680664,98.52278137207033,209.3438262939453,27.793680036419943,46.26582794189457,70.72910299837113,331.6493507463608,436.9879150390625,0.0,prediction_sets_coras_aps_alpha0.10.csv,seed0_calib0.25
mondrian_domain,0.1,2629,0.895017116774439,13.02814758463294,24.77145767211914,39.40610122680664,98.52278137207033,209.3438262939453,28.76517484495795,47.85299377441408,69.75760818983312,315.5401800539431,436.9879150390625,0.0,prediction_sets_mondrian_domain_alpha0.10.csv,seed0_calib0.25
prompt_only_top1,0.1,2629,0.2346899961962723,1.0,24.77145767211914,39.40610122680664,98.52278137207033,209.3438262939453,98.52278303479108,209.34383544921877,0.0,0.0,0.0,0.0,prediction_sets_prompt_only_top1_alpha0.10.csv,seed0_calib0.25
temperature_conformal,0.1,2629,0.9155572461011792,20.679726131608977,24.77145767211914,39.40610122680664,123.659423828125,247.8014984130859,28.03209278567033,46.92205810546875,95.62732346008468,393.11879717165544,458.6599731445313,0.0,prediction_sets_temperature_conformal_alpha0.10.csv,seed0_calib0.25
top1_singleton,0.1,2629,0.1513883605933815,1.0,24.77145767211914,39.40610122680664,123.659423828125,247.8014984130859,123.659416245755,247.8015014648438,0.0,0.0,0.0,0.0,prediction_sets_top1_singleton_alpha0.10.csv,seed0_calib0.25
topk_calibrated,0.1,2629,0.9140357550399392,22.0,24.77145767211914,39.40610122680664,123.659423828125,247.8014984130859,27.924888628300103,46.181166839599626,95.73452761745487,412.2033903137184,458.6599731445313,0.0,prediction_sets_topk_calibrated_alpha0.10.csv,seed0_calib0.25
vanilla_conformal,0.1,2629,0.9109927729174592,20.373526055534423,24.77145767211914,39.40610122680664,123.659423828125,247.8014984130859,28.330564599771854,47.14295730590821,95.32885164598314,386.4922239405885,458.6599731445313,0.0,prediction_sets_vanilla_conformal_alpha0.10.csv,seed0_calib0.25
aps_conformal,0.1,2430,0.9189300411522634,19.894238683127572,24.96054458618164,40.0101318359375,122.12394714355467,246.1718292236328,27.983921035428228,46.395023345947266,94.14001560785152,382.3190658569336,458.6599731445313,0.0,prediction_sets_aps_conformal_alpha0.10.csv,seed0_calib0.40
coras,0.1,2430,0.9074074074074074,13.704115226337448,24.96054458618164,40.0101318359375,96.45711517333984,206.7292938232422,28.87812643473347,47.9493049621582,67.57898193850438,327.3490320135046,436.9879150390625,0.0,prediction_sets_coras_alpha0.10.csv,seed0_calib0.40
coras_aps,0.1,2430,0.9111111111111112,13.910699588477366,24.96054458618164,40.0101318359375,96.45711517333984,206.7292938232422,28.46184475422212,47.430042266845696,67.99526361901573,327.15448866165224,436.9879150390625,0.0,prediction_sets_coras_aps_alpha0.10.csv,seed0_calib0.40
mondrian_domain,0.1,2430,0.9069958847736626,13.04074074074074,24.96054458618164,40.0101318359375,96.45711517333984,206.7292938232422,28.83416395379008,48.21717224121094,67.62294441944778,315.2471608730991,436.9879150390625,0.0,prediction_sets_mondrian_domain_alpha0.10.csv,seed0_calib0.40
prompt_only_top1,0.1,2430,0.2415637860082304,1.0,24.96054458618164,40.0101318359375,96.45711517333984,206.7292938232422,96.45710837323786,206.72929992675785,0.0,0.0,0.0,0.0,prediction_sets_prompt_only_top1_alpha0.10.csv,seed0_calib0.40
temperature_conformal,0.1,2430,0.9246913580246914,20.192592592592593,24.96054458618164,40.0101318359375,122.12394714355467,246.1718292236328,27.90583607817199,45.92238159179687,94.21810056510776,386.9890132386008,458.6599731445313,0.0,prediction_sets_temperature_conformal_alpha0.10.csv,seed0_calib0.40
top1_singleton,0.1,2430,0.1493827160493827,1.0,24.96054458618164,40.0101318359375,122.12394714355467,246.1718292236328,122.12393664327976,246.1720947265623,0.0,0.0,0.0,0.0,prediction_sets_top1_singleton_alpha0.10.csv,seed0_calib0.40
topk_calibrated,0.1,2430,0.9271604938271604,22.0,24.96054458618164,40.0101318359375,122.12394714355467,246.1718292236328,27.4163127659065,45.96859855651855,94.70762387737324,409.5476861396445,458.6599731445313,0.0,prediction_sets_topk_calibrated_alpha0.10.csv,seed0_calib0.40
vanilla_conformal,0.1,2430,0.9193415637860082,20.07283950617284,24.96054458618164,40.0101318359375,122.12394714355467,246.1718292236328,28.026597960302492,46.339210891723624,94.09733868297728,382.4896965309426,458.6599731445313,0.0,prediction_sets_vanilla_conformal_alpha0.10.csv,seed0_calib0.40
