method,alpha,domain,coverage_mean,coverage_std,mean_set_size_mean,fail_to_abstain_rate_mean,runs
aps_conformal,0.05,target_camera_shift,0.9359629503848812,0.020053058980114388,12.203527104118548,0.0002710027100271,15
aps_conformal,0.05,target_lighting_shift,0.9743694247433087,0.022274009633463106,12.91597210586845,0.0,15
aps_conformal,0.05,target_occluded,0.9880697552580405,0.008775811802045322,10.55721856316521,0.0,15
aps_conformal,0.1,target_camera_shift,0.9024544985949536,0.03115714891061566,9.887020938375496,0.0013548405779287068,15
aps_conformal,0.1,target_lighting_shift,0.9138949249210112,0.05473913345604945,11.077263744830441,0.0,15
aps_conformal,0.1,target_occluded,0.9773798203422203,0.013320983234565506,7.659782629845648,0.0,15
aps_conformal,0.2,target_camera_shift,0.8622412783543995,0.026527255143153412,7.397161599777374,0.009205331612555993,15
aps_conformal,0.2,target_lighting_shift,0.8486828679223662,0.062036269345137514,9.202968665884912,0.0,15
aps_conformal,0.2,target_occluded,0.9542467607976342,0.021569593387690805,5.306349718518905,0.011249045786686495,15
coras,0.05,target_camera_shift,0.9345866643885071,0.025449898088433735,10.067433625683565,0.0010724422649733732,15
coras,0.05,target_lighting_shift,0.970574261116308,0.016741191696285466,8.82641738349587,0.0,15
coras,0.05,target_occluded,0.9863672992752833,0.014653563356583845,8.129649157564309,0.0,15
coras,0.1,target_camera_shift,0.8674344296000321,0.04100018296313242,6.512430179577578,0.009391626602765386,15
coras,0.1,target_lighting_shift,0.933290004746761,0.024775846108149986,6.295434137112378,0.00078396211232958,15
coras,0.1,target_occluded,0.9604872426079811,0.029340558062482466,5.021440114672946,0.005579873155663593,15
coras,0.2,target_camera_shift,0.7431054664336012,0.04567929786627154,3.024631951561017,0.06650472730238012,15
coras,0.2,target_lighting_shift,0.8478892275719419,0.0380745526776262,3.467823841680745,0.010473794040926788,15
coras,0.2,target_occluded,0.8973425090375768,0.03589696349940866,2.5402420802568213,0.03483165191920158,15
coras_aps,0.05,target_camera_shift,0.948713530214271,0.019196771626250428,11.622764716939635,0.0,15
coras_aps,0.05,target_lighting_shift,0.9703610685275679,0.021168591706025225,10.418322010152734,0.0,15
coras_aps,0.05,target_occluded,0.9920789174884598,0.010647656182112126,10.134578638296016,0.0,15
coras_aps,0.1,target_camera_shift,0.9247068845658798,0.02394464676941418,9.843644671834458,0.0,15
coras_aps,0.1,target_lighting_shift,0.9502054486130319,0.03298278428611811,8.660130851510278,0.0,15
coras_aps,0.1,target_occluded,0.9887767630107588,0.012393097970726023,8.158933784598636,0.0,15
coras_aps,0.2,target_camera_shift,0.886819755165926,0.022691263588217287,7.3909932132888,0.0034656694313307933,15
coras_aps,0.2,target_lighting_shift,0.927050381371809,0.03884505479359624,6.704661840843871,0.0,15
coras_aps,0.2,target_occluded,0.9732598229556224,0.018183316340825068,5.816327615641674,0.0015002933534489934,15
mondrian_domain,0.05,target_camera_shift,0.9587506598666101,0.019680664107490992,11.808516214182161,0.00027662517289072665,15
mondrian_domain,0.05,target_lighting_shift,0.9638904051154086,0.02848136169945246,8.273492828344772,0.0012410697589797066,15
mondrian_domain,0.05,target_occluded,0.9617572999094048,0.03233188496611756,5.740293930483451,0.007047462877289733,15
mondrian_domain,0.1,target_camera_shift,0.8977806214353772,0.04008483381790994,7.862956875800066,0.004746305336905946,15
mondrian_domain,0.1,target_lighting_shift,0.9074808883421102,0.036873644499522386,5.42361458738498,0.00547276825264764,15
mondrian_domain,0.1,target_occluded,0.926781652606728,0.0395923736956468,3.3165555430812867,0.02169244814065376,15
mondrian_domain,0.2,target_camera_shift,0.8102438362077042,0.03980078039307554,4.5312113350185745,0.027444122156581218,15
mondrian_domain,0.2,target_lighting_shift,0.8098069832015447,0.04837162946442585,2.805653323553729,0.04133595056166229,15
mondrian_domain,0.2,target_occluded,0.8398740360417547,0.05346614242220784,1.763032305567121,0.07673455222549089,15
prompt_only_top1,0.05,target_camera_shift,0.5245608886865658,0.043653956976055716,1.0,0.4754391113134341,15
prompt_only_top1,0.05,target_lighting_shift,0.6881250817797722,0.06563535389206782,1.0,0.3118749182202277,15
prompt_only_top1,0.05,target_occluded,0.7042248012596722,0.047674332192109675,1.0,0.2957751987403277,15
prompt_only_top1,0.1,target_camera_shift,0.5245608886865658,0.043653956976055716,1.0,0.4754391113134341,15
prompt_only_top1,0.1,target_lighting_shift,0.6881250817797722,0.06563535389206782,1.0,0.3118749182202277,15
prompt_only_top1,0.1,target_occluded,0.7042248012596722,0.047674332192109675,1.0,0.2957751987403277,15
prompt_only_top1,0.2,target_camera_shift,0.5245608886865658,0.043653956976055716,1.0,0.4754391113134341,15
prompt_only_top1,0.2,target_lighting_shift,0.6881250817797722,0.06563535389206782,1.0,0.3118749182202277,15
prompt_only_top1,0.2,target_occluded,0.7042248012596722,0.047674332192109675,1.0,0.2957751987403277,15
temperature_conformal,0.05,target_camera_shift,0.9301245257644166,0.030968510874413845,11.90456541590609,0.0005376693766937667,15
temperature_conformal,0.05,target_lighting_shift,0.9579305763106893,0.02658781207870536,12.297315814292654,0.0,15
temperature_conformal,0.05,target_occluded,0.9879340009732959,0.010279332219030959,10.313499538264542,0.0,15
temperature_conformal,0.1,target_camera_shift,0.8879353461209404,0.041154551881415515,8.967995437792792,0.0040274384365873,15
temperature_conformal,0.1,target_lighting_shift,0.8858678215100358,0.04525413412038469,10.148076961556445,0.0,15
temperature_conformal,0.1,target_occluded,0.9683713051686087,0.021819960802153232,7.14657272597766,0.00449571040433286,15
temperature_conformal,0.2,target_camera_shift,0.7962125229957128,0.047318643089094184,5.193264045461506,0.029704269547471174,15
temperature_conformal,0.2,target_lighting_shift,0.7663523550965454,0.06351102364769105,6.907558754522487,0.00045045045045044666,15
temperature_conformal,0.2,target_occluded,0.9218591246408767,0.041490558088320556,3.944277450466863,0.016037213598747508,15
top1_singleton,0.05,target_camera_shift,0.4624446876015081,0.07489962182180337,1.0,0.5375553123984919,15
top1_singleton,0.05,target_lighting_shift,0.37813252519654317,0.18957390248773986,1.0,0.6218674748034568,15
top1_singleton,0.05,target_occluded,0.6565705818681473,0.05950166932822867,1.0,0.34342941813185257,15
top1_singleton,0.1,target_camera_shift,0.4624446876015081,0.07489962182180337,1.0,0.5375553123984919,15
top1_singleton,0.1,target_lighting_shift,0.37813252519654317,0.18957390248773986,1.0,0.6218674748034568,15
top1_singleton,0.1,target_occluded,0.6565705818681473,0.05950166932822867,1.0,0.34342941813185257,15
top1_singleton,0.2,target_camera_shift,0.4624446876015081,0.07489962182180337,1.0,0.5375553123984919,15
top1_singleton,0.2,target_lighting_shift,0.37813252519654317,0.18957390248773986,1.0,0.6218674748034568,15
top1_singleton,0.2,target_occluded,0.6565705818681473,0.05950166932822867,1.0,0.34342941813185257,15
topk_calibrated,0.05,target_camera_shift,0.9494159467753539,0.02058130993864051,13.466666666666667,0.0,15
topk_calibrated,0.05,target_lighting_shift,0.976616326294605,0.016311741042023965,13.466666666666667,0.0,15
topk_calibrated,0.05,target_occluded,0.9951572182077921,0.007608034678376435,13.466666666666667,0.0,15
topk_calibrated,0.1,target_camera_shift,0.904982791040869,0.03433512479007928,10.866666666666667,0.0,15
topk_calibrated,0.1,target_lighting_shift,0.8835711418836903,0.03719982443822926,10.866666666666667,0.0,15
topk_calibrated,0.1,target_occluded,0.9802828063083263,0.01911093730556077,10.866666666666667,0.0,15
topk_calibrated,0.2,target_camera_shift,0.8345655585604159,0.04116198472647794,7.133333333333334,0.0,15
topk_calibrated,0.2,target_lighting_shift,0.7558095349538161,0.06597108285290924,7.133333333333334,0.0,15
topk_calibrated,0.2,target_occluded,0.9485166309830345,0.026409065464000635,7.133333333333334,0.0,15
vanilla_conformal,0.05,target_camera_shift,0.9282437016733224,0.03125830431193236,11.24763151973708,0.0005376693766937667,15
vanilla_conformal,0.05,target_lighting_shift,0.9739126337586641,0.021003578431205178,12.70269459288789,0.0,15
vanilla_conformal,0.05,target_occluded,0.9846714385283943,0.00981053142106939,8.601573179309808,0.00069444444444444,15
vanilla_conformal,0.1,target_camera_shift,0.8740977217888057,0.04487364280904405,8.214122908985878,0.013147094810411153,15
vanilla_conformal,0.1,target_lighting_shift,0.9055681947250633,0.04606357295088207,10.42961264468852,0.0,15
vanilla_conformal,0.1,target_occluded,0.9621764313444386,0.019920816746683195,5.949657116855955,0.007682208074096094,15
vanilla_conformal,0.2,target_camera_shift,0.7804671499791979,0.04711408494633681,4.780236024981344,0.04523863617788965,15
vanilla_conformal,0.2,target_lighting_shift,0.786528853353292,0.05836213513354408,7.209914123164444,0.00045045045045044666,15
vanilla_conformal,0.2,target_occluded,0.9094508493402941,0.04525215964910486,3.442723825498121,0.02946858507826631,15
