n,coverage,noncoverage_rate,mean_set_size,median_set_size,p90_set_size,top1_accuracy,singleton_rate,abstain_rate,empty_set_rate,fail_to_abstain_rate,ece_top1,unsafe_n,unsafe_coverage,unsafe_fail_to_abstain_rate,method,alpha,domain,seed,target_coverage,coverage_gap,result_file
246,0.5203252032520326,0.4796747967479674,1.0,1.0,1.0,0.5203252032520326,1.0,0.0,0.0,0.4796747967479675,0.2699891478002158,176,0.5909090909090909,0.4090909090909091,top1_singleton,0.05,target_camera_shift,0,0.95,-0.4296747967479674,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.05.csv
162,0.4135802469135802,0.5864197530864197,1.0,1.0,1.0,0.4135802469135802,1.0,0.0,0.0,0.5864197530864198,0.1677504724633364,117,0.4700854700854701,0.5299145299145299,top1_singleton,0.05,target_lighting_shift,0,0.95,-0.5364197530864196,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.05.csv
93,0.6559139784946236,0.3440860215053763,1.0,1.0,1.0,0.6559139784946236,1.0,0.0,0.0,0.3440860215053763,0.1554486524808995,83,0.6506024096385542,0.3493975903614458,top1_singleton,0.05,target_occluded,0,0.95,-0.2940860215053763,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.05.csv
246,0.926829268292683,0.073170731707317,13.0,13.0,13.0,0.5203252032520326,0.0,1.0,0.0,0.0,0.2699891478002158,176,0.9886363636363636,0.0,topk_calibrated,0.05,target_camera_shift,0,0.95,-0.0231707317073169,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.05.csv
162,0.9567901234567902,0.0432098765432098,13.0,13.0,13.0,0.4135802469135802,0.0,1.0,0.0,0.0,0.1677504724633364,117,0.9572649572649572,0.0,topk_calibrated,0.05,target_lighting_shift,0,0.95,0.0067901234567901,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.05.csv
93,1.0,0.0,13.0,13.0,13.0,0.6559139784946236,0.0,1.0,0.0,0.0,0.1554486524808995,83,1.0,0.0,topk_calibrated,0.05,target_occluded,0,0.95,0.05,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.05.csv
246,0.8902439024390244,0.1097560975609756,8.483739837398375,9.0,13.0,0.5203252032520326,0.024390243902439,0.975609756097561,0.0,0.0040650406504065,0.2699891478002158,176,0.9772727272727272,0.0,vanilla_conformal,0.05,target_camera_shift,0,0.95,-0.0597560975609755,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.05.csv
162,0.9320987654320988,0.0679012345679012,10.623456790123456,12.0,13.0,0.4135802469135802,0.0246913580246913,0.9753086419753086,0.0,0.0,0.1677504724633364,117,0.9487179487179488,0.0,vanilla_conformal,0.05,target_lighting_shift,0,0.95,-0.0179012345679011,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.05.csv
93,0.978494623655914,0.021505376344086,8.387096774193548,9.0,14.0,0.6559139784946236,0.0967741935483871,0.9032258064516128,0.0,0.0,0.1554486524808995,83,0.9879518072289156,0.0,vanilla_conformal,0.05,target_occluded,0,0.95,0.028494623655914,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.05.csv
246,0.9065040650406504,0.0934959349593496,10.211382113821138,11.0,13.0,0.5203252032520326,0.008130081300813,0.991869918699187,0.0,0.0040650406504065,0.2699891478002158,176,0.9829545454545454,0.0,aps_conformal,0.05,target_camera_shift,0,0.95,-0.0434959349593495,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.05.csv
162,0.9135802469135802,0.0864197530864198,11.185185185185183,12.0,12.0,0.4135802469135802,0.0,1.0,0.0,0.0,0.1677504724633364,117,0.9401709401709402,0.0,aps_conformal,0.05,target_lighting_shift,0,0.95,-0.0364197530864197,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.05.csv
93,0.978494623655914,0.021505376344086,10.053763440860216,11.0,13.0,0.6559139784946236,0.021505376344086,0.978494623655914,0.0,0.0,0.1554486524808995,83,0.9879518072289156,0.0,aps_conformal,0.05,target_occluded,0,0.95,0.028494623655914,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.05.csv
246,0.8983739837398373,0.1016260162601626,9.276422764227643,10.0,13.0,0.5203252032520326,0.008130081300813,0.991869918699187,0.0,0.0040650406504065,0.0781231500115632,176,0.9829545454545454,0.0,temperature_conformal,0.05,target_camera_shift,0,0.95,-0.0516260162601626,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.05.csv
162,0.9135802469135802,0.0864197530864198,10.641975308641976,11.0,12.0,0.4135802469135802,0.0,1.0,0.0,0.0,0.1946523409006293,117,0.9316239316239316,0.0,temperature_conformal,0.05,target_lighting_shift,0,0.95,-0.0364197530864197,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.05.csv
93,0.978494623655914,0.021505376344086,9.43010752688172,10.0,13.0,0.6559139784946236,0.0,1.0,0.0,0.0,0.1251971973057735,83,0.9879518072289156,0.0,temperature_conformal,0.05,target_occluded,0,0.95,0.028494623655914,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.05.csv
246,0.5121951219512195,0.4878048780487805,1.0,1.0,1.0,0.5121951219512195,1.0,0.0,0.0,0.4878048780487805,0.1811517323352262,176,0.5795454545454546,0.4204545454545454,prompt_only_top1,0.05,target_camera_shift,0,0.95,-0.4378048780487804,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.05.csv
