method,alpha,domain,coverage_mean,coverage_std,mean_set_size_mean,fail_to_abstain_rate_mean,runs
aps_conformal,0.1,target_camera_shift,0.9655172413793104,,13.689655172413794,0.0,1
aps_conformal,0.1,target_lighting_shift,1.0,,13.61904761904762,0.0,1
aps_conformal,0.1,target_occluded,0.85,,13.95,0.0,1
coras,0.1,target_camera_shift,0.9310344827586208,,13.241379310344827,0.0,1
coras,0.1,target_lighting_shift,1.0,,13.238095238095235,0.0,1
coras,0.1,target_occluded,0.9,,13.4,0.0,1
coras_aps,0.1,target_camera_shift,0.9655172413793104,,14.0,0.0,1
coras_aps,0.1,target_lighting_shift,0.9523809523809524,,13.952380952380953,0.0,1
coras_aps,0.1,target_occluded,0.9,,14.0,0.0,1
mondrian_domain,0.1,target_camera_shift,0.9310344827586208,,13.20689655172414,0.0,1
mondrian_domain,0.1,target_lighting_shift,1.0,,13.476190476190476,0.0,1
mondrian_domain,0.1,target_occluded,0.9,,13.4,0.0,1
prompt_only_top1,0.1,target_camera_shift,0.0689655172413793,,1.0,0.9310344827586208,1
prompt_only_top1,0.1,target_lighting_shift,0.0476190476190476,,1.0,0.9523809523809524,1
prompt_only_top1,0.1,target_occluded,0.1,,1.0,0.9,1
temperature_conformal,0.1,target_camera_shift,0.9655172413793104,,14.03448275862069,0.0,1
temperature_conformal,0.1,target_lighting_shift,1.0,,13.904761904761903,0.0,1
temperature_conformal,0.1,target_occluded,0.85,,13.9,0.0,1
top1_singleton,0.1,target_camera_shift,0.0689655172413793,,1.0,0.9310344827586208,1
top1_singleton,0.1,target_lighting_shift,0.0952380952380952,,1.0,0.9047619047619048,1
top1_singleton,0.1,target_occluded,0.1,,1.0,0.9,1
topk_calibrated,0.1,target_camera_shift,0.9655172413793104,,14.0,0.0,1
topk_calibrated,0.1,target_lighting_shift,1.0,,14.0,0.0,1
topk_calibrated,0.1,target_occluded,0.9,,14.0,0.0,1
vanilla_conformal,0.1,target_camera_shift,0.9655172413793104,,14.03448275862069,0.0,1
vanilla_conformal,0.1,target_lighting_shift,1.0,,13.904761904761903,0.0,1
vanilla_conformal,0.1,target_occluded,0.85,,13.95,0.0,1
