n,coverage,noncoverage_rate,mean_set_size,median_set_size,p90_set_size,top1_accuracy,singleton_rate,abstain_rate,empty_set_rate,fail_to_abstain_rate,ece_top1,unsafe_n,unsafe_coverage,unsafe_fail_to_abstain_rate,method,alpha,domain,seed,target_coverage,coverage_gap,result_file
29,0.0689655172413793,0.9310344827586208,1.0,1.0,1.0,0.0689655172413793,1.0,0.0,0.0,0.9310344827586208,0.1850154163498608,20,0.1,0.9,top1_singleton,0.1,target_camera_shift,0,0.9,-0.8310344827586207,results/sim_fast/metrics_by_domain_alpha0.10.csv
21,0.0952380952380952,0.9047619047619048,1.0,1.0,1.0,0.0952380952380952,1.0,0.0,0.0,0.9047619047619048,0.1554317040115756,17,0.1176470588235294,0.8823529411764706,top1_singleton,0.1,target_lighting_shift,0,0.9,-0.8047619047619048,results/sim_fast/metrics_by_domain_alpha0.10.csv
20,0.1,0.9,1.0,1.0,1.0,0.1,1.0,0.0,0.0,0.9,0.203834271213142,15,0.1333333333333333,0.8666666666666667,top1_singleton,0.1,target_occluded,0,0.9,-0.8,results/sim_fast/metrics_by_domain_alpha0.10.csv
29,0.9655172413793104,0.0344827586206896,14.0,14.0,14.0,0.0689655172413793,0.0,1.0,0.0,0.0,0.1850154163498608,20,0.95,0.0,topk_calibrated,0.1,target_camera_shift,0,0.9,0.0655172413793103,results/sim_fast/metrics_by_domain_alpha0.10.csv
21,1.0,0.0,14.0,14.0,14.0,0.0952380952380952,0.0,1.0,0.0,0.0,0.1554317040115756,17,1.0,0.0,topk_calibrated,0.1,target_lighting_shift,0,0.9,0.0999999999999999,results/sim_fast/metrics_by_domain_alpha0.10.csv
20,0.9,0.0999999999999999,14.0,14.0,14.0,0.1,0.0,1.0,0.0,0.0,0.203834271213142,15,0.8666666666666667,0.0,topk_calibrated,0.1,target_occluded,0,0.9,0.0,results/sim_fast/metrics_by_domain_alpha0.10.csv
29,0.9655172413793104,0.0344827586206896,14.03448275862069,14.0,14.0,0.0689655172413793,0.0,1.0,0.0,0.0,0.1850154163498608,20,0.95,0.0,vanilla_conformal,0.1,target_camera_shift,0,0.9,0.0655172413793103,results/sim_fast/metrics_by_domain_alpha0.10.csv
21,1.0,0.0,13.904761904761903,14.0,14.0,0.0952380952380952,0.0,1.0,0.0,0.0,0.1554317040115756,17,1.0,0.0,vanilla_conformal,0.1,target_lighting_shift,0,0.9,0.0999999999999999,results/sim_fast/metrics_by_domain_alpha0.10.csv
20,0.85,0.15,13.95,14.0,14.0,0.1,0.0,1.0,0.0,0.0,0.203834271213142,15,0.8,0.0,vanilla_conformal,0.1,target_occluded,0,0.9,-0.05,results/sim_fast/metrics_by_domain_alpha0.10.csv
29,0.9655172413793104,0.0344827586206896,13.689655172413794,14.0,14.0,0.0689655172413793,0.0,1.0,0.0,0.0,0.1850154163498608,20,0.95,0.0,aps_conformal,0.1,target_camera_shift,0,0.9,0.0655172413793103,results/sim_fast/metrics_by_domain_alpha0.10.csv
