n,coverage,noncoverage_rate,mean_set_size,median_set_size,p90_set_size,top1_accuracy,singleton_rate,abstain_rate,empty_set_rate,fail_to_abstain_rate,ece_top1,unsafe_n,unsafe_coverage,unsafe_fail_to_abstain_rate,method,alpha,domain,seed,target_coverage,coverage_gap
29,0.06896551724137931,0.9310344827586207,1.0,1.0,1.0,0.06896551724137931,1.0,0.0,0.0,0.9310344827586207,0.18501541634986082,20,0.1,0.9,top1_singleton,0.1,target_camera_shift,0,0.9,-0.8310344827586207
21,0.09523809523809523,0.9047619047619048,1.0,1.0,1.0,0.09523809523809523,1.0,0.0,0.0,0.9047619047619048,0.15543170401157563,17,0.11764705882352941,0.8823529411764706,top1_singleton,0.1,target_lighting_shift,0,0.9,-0.8047619047619048
20,0.1,0.9,1.0,1.0,1.0,0.1,1.0,0.0,0.0,0.9,0.20383427121314202,15,0.13333333333333333,0.8666666666666667,top1_singleton,0.1,target_occluded,0,0.9,-0.8
29,0.9655172413793104,0.03448275862068961,14.0,14.0,14.0,0.06896551724137931,0.0,1.0,0.0,0.0,0.18501541634986082,20,0.95,0.0,topk_calibrated,0.1,target_camera_shift,0,0.9,0.06551724137931036
21,1.0,0.0,14.0,14.0,14.0,0.09523809523809523,0.0,1.0,0.0,0.0,0.15543170401157563,17,1.0,0.0,topk_calibrated,0.1,target_lighting_shift,0,0.9,0.09999999999999998
20,0.9,0.09999999999999998,14.0,14.0,14.0,0.1,0.0,1.0,0.0,0.0,0.20383427121314202,15,0.8666666666666667,0.0,topk_calibrated,0.1,target_occluded,0,0.9,0.0
29,0.9655172413793104,0.03448275862068961,14.03448275862069,14.0,14.0,0.06896551724137931,0.0,1.0,0.0,0.0,0.18501541634986082,20,0.95,0.0,vanilla_conformal,0.1,target_camera_shift,0,0.9,0.06551724137931036
21,1.0,0.0,13.904761904761905,14.0,14.0,0.09523809523809523,0.0,1.0,0.0,0.0,0.15543170401157563,17,1.0,0.0,vanilla_conformal,0.1,target_lighting_shift,0,0.9,0.09999999999999998
20,0.85,0.15000000000000002,13.95,14.0,14.0,0.1,0.0,1.0,0.0,0.0,0.20383427121314202,15,0.8,0.0,vanilla_conformal,0.1,target_occluded,0,0.9,-0.050000000000000044
29,0.9655172413793104,0.03448275862068961,13.689655172413794,14.0,14.0,0.06896551724137931,0.0,1.0,0.0,0.0,0.18501541634986082,20,0.95,0.0,aps_conformal,0.1,target_camera_shift,0,0.9,0.06551724137931036
21,1.0,0.0,13.619047619047619,14.0,14.0,0.09523809523809523,0.0,1.0,0.0,0.0,0.15543170401157563,17,1.0,0.0,aps_conformal,0.1,target_lighting_shift,0,0.9,0.09999999999999998
20,0.85,0.15000000000000002,13.95,14.0,14.0,0.1,0.0,1.0,0.0,0.0,0.20383427121314202,15,0.8666666666666667,0.0,aps_conformal,0.1,target_occluded,0,0.9,-0.050000000000000044
29,0.9655172413793104,0.03448275862068961,14.03448275862069,14.0,14.0,0.06896551724137931,0.0,1.0,0.0,0.0,0.003110707415449915,20,0.95,0.0,temperature_conformal,0.1,target_camera_shift,0,0.9,0.06551724137931036
21,1.0,0.0,13.904761904761905,14.0,14.0,0.09523809523809523,0.0,1.0,0.0,0.0,0.023168339795313242,17,1.0,0.0,temperature_conformal,0.1,target_lighting_shift,0,0.9,0.09999999999999998
20,0.85,0.15000000000000002,13.9,14.0,14.0,0.1,0.0,1.0,0.0,0.0,0.027883304151014407,15,0.8,0.0,temperature_conformal,0.1,target_occluded,0,0.9,-0.050000000000000044
29,0.06896551724137931,0.9310344827586207,1.0,1.0,1.0,0.06896551724137931,1.0,0.0,0.0,0.9310344827586207,0.20153539126513328,20,0.1,0.9,prompt_only_top1,0.1,target_camera_shift,0,0.9,-0.8310344827586207
21,0.047619047619047616,0.9523809523809523,1.0,1.0,1.0,0.047619047619047616,1.0,0.0,0.0,0.9523809523809523,0.279156475898865,17,0.058823529411764705,0.9411764705882353,prompt_only_top1,0.1,target_lighting_shift,0,0.9,-0.8523809523809525
20,0.1,0.9,1.0,1.0,1.0,0.1,1.0,0.0,0.0,0.9,0.1662445531669428,15,0.13333333333333333,0.8666666666666667,prompt_only_top1,0.1,target_occluded,0,0.9,-0.8
29,0.9310344827586207,0.06896551724137934,13.241379310344827,13.0,14.0,0.06896551724137931,0.0,1.0,0.0,0.0,0.20153539126513328,20,0.95,0.0,coras,0.1,target_camera_shift,0,0.9,0.03103448275862064
21,1.0,0.0,13.238095238095237,13.0,14.0,0.047619047619047616,0.0,1.0,0.0,0.0,0.279156475898865,17,1.0,0.0,coras,0.1,target_lighting_shift,0,0.9,0.09999999999999998
20,0.9,0.09999999999999998,13.4,13.0,14.0,0.1,0.0,1.0,0.0,0.0,0.1662445531669428,15,0.8666666666666667,0.0,coras,0.1,target_occluded,0,0.9,0.0
29,0.9655172413793104,0.03448275862068961,14.0,14.0,14.0,0.06896551724137931,0.0,1.0,0.0,0.0,0.20153539126513328,20,1.0,0.0,coras_aps,0.1,target_camera_shift,0,0.9,0.06551724137931036
21,0.9523809523809523,0.04761904761904767,13.952380952380953,14.0,14.0,0.047619047619047616,0.0,1.0,0.0,0.0,0.279156475898865,17,0.9411764705882353,0.0,coras_aps,0.1,target_lighting_shift,0,0.9,0.052380952380952306
20,0.9,0.09999999999999998,14.0,14.0,14.0,0.1,0.0,1.0,0.0,0.0,0.1662445531669428,15,0.8666666666666667,0.0,coras_aps,0.1,target_occluded,0,0.9,0.0
29,0.9310344827586207,0.06896551724137934,13.206896551724139,13.0,14.0,0.06896551724137931,0.0,1.0,0.0,0.0,0.20153539126513328,20,0.95,0.0,mondrian_domain,0.1,target_camera_shift,0,0.9,0.03103448275862064
21,1.0,0.0,13.476190476190476,13.0,14.0,0.047619047619047616,0.0,1.0,0.0,0.0,0.279156475898865,17,1.0,0.0,mondrian_domain,0.1,target_lighting_shift,0,0.9,0.09999999999999998
